"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"225",225,0.0103382817090007,0,0,2.31993998002147,0,0,2.23400660928371,0,0.435703295468542,2.91372805340639,0.426295538584151,0,0,0.15684926803085,0,0,0,0.212286048426526,0,0,5.13253916444441,1.9405098537428,0,0,0,0,0.17
"226",226,0,0,0,1.89810865264706,0,0,1.5349814454428,0,0,1.29427189164051,1.01589809819718,0,0,0.0485367110412101,0,0,0,0,0,0,4.4561356382134,1.28404289716233,0,0,0,0,0.32
"227",227,0,0,0,1.27083855581721,0,0,1.63439289008564,0,0,1.89926118528488,0.163711678481302,0,0,0,0,0,0,0.0490416139976848,0,0,4.68575801689772,1.06809839604215,0,0,0,0,0.26
"228",228,0,0,0,0.949859614553832,0,0,1.45252741489793,0,0,1.36962273626445,0.177873022706871,0,0,1.51055411673439,0,0,0,0,0,0,4.50840898708718,1.53470233935098,0,0,0,0,0.28
"229",229,0,0,0,1.58700581677214,0,0,1.0612808815897,0,0,1.09687539523813,0.166436946598795,0,0,0.0449575328975835,0,0,0,0.153544046417374,0,0,4.83967188470044,1.61137445005973,0,0,0,0,0.37
"230",230,0,0,0,1.81124326050365,0,0,0.369949971701319,0,0,1.17054307534286,0.228250778884339,0,0,0.0530380757574289,0,0,0,0,0,0,3.90689975147509,1.24202987752491,0,0,0,0,0.32
"231",231,0,0,0,1.17988914864355,0,0,0.644588488444265,0,0,1.15446502650502,0.0546624795113282,0,0,0,0,0,0,0.047058327520395,0,0,4.60936344157013,0.0681929155570129,0,0,0,0,0.41
"232",232,0,0,0,0.234354199272461,0,0,0.282612272615785,0,0,1.02558493139293,0,0,0,0,0,0,0,0,0,0,3.95607196657734,0,0,0,0,0,0.42
"233",233,0,0,0,0.946782943814668,0,0,0.0676342723688175,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4368991208256,0.0138791188112276,0,0,0,0,0.52
"234",234,0,0,0,0.0388644914400363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30542699366322,0,0,0,0,0,0.62
"235",235,0,0,0,0.144079509983356,0,0,0.967600098291898,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72030017582077,0,0,0,0,0,0.54
