"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"133",133,0,0.00743593430436679,0,0,0,0,0,0,0.0146089652716017,0.375837079643699,0,0.954233430692117,0,0,0,0,0,0,0,0,0.0802957827766694,0,0.601849925301285,0,0.180600008061002,0,0.15
"134",134,0.00518122093100847,0,0.670841233568037,0,0,0,0.180786481782512,0,0.380757566456226,0.645709368573447,0,0,0.0264205436311998,0.144625372036246,0,0.284119731095069,0,0,0,0,0.390918501101402,0,0.859999490530977,0,0.127841275870695,0.280941907484804,0.06
"135",135,0,0,0,0,0,0,0,0.305548415188959,0,0.357499374693489,0,0,0.685195049393944,0.956617198139529,0,1,0,0,0,0,0,0,0.630802250531083,0,0.0171186259913302,0.0952563419755377,0.27
"136",136,0,0,0,0,0,0,0,0.412790494762266,0.00208779493141215,0.398173121502921,0,0,0.621648158884729,0.904855353599388,0,1,0,0,0,0,0,0,0,0,0,0,0.19
"137",137,0,0,0,0,0,0,0,0.243062037360824,0,0.325262736455445,0,0,0.549383293143961,0.878157267475075,0,0,0,0,0,0,0,0,0,0,0,0,0.09
"138",138,0,0,0,0,0,0,0,0,0.12372807746026,0.0650447914250799,0,0,0.406898930829175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
"139",139,0,0,0.68856354771675,0,0,0,0.16711730226772,0,0,0.0333463630622765,0.100340764912595,0,0,0.0807062589792951,0,0,0.0306330101986156,0.295277288665532,0,0,0.0293821008688765,0,0.74931196986997,0.415286684601059,0.0109426429090047,0.168191467356999,0.17
"140",140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
"141",141,0.941611006096023,0.282676830361111,1,0,0,0,0.702738187423609,0,0.422486681740443,0.877103111553729,0,0,0.0681652696272103,0,0,0,0,0.411876676562001,0,0.053335344931978,0.970317628634141,0,0,0,0.401487827585309,0,0.2
"142",142,0.594906172330839,0.0940911043529969,1,0,0,0,0.43846035147454,0,0.197211248660694,0.690032544849766,0,0,0,0,0,0,0,0.166289032430557,0,0.000333245036384417,0.853075129991568,0,0,0,0.260663445928579,0,0.21
"143",143,0,0,0.560106999408098,0,0,0,0,0,0,0.0154043738357535,0.0365153618150811,0,0,0,0,0,0,0.201380308910094,0,0,0.323548746767822,0,0,0.243186957219884,0,0,0.29
